pid,fnm,lnm,hght,n,bx,by,bz,rt,rx,ry,rz,rv,rvx,rvy,rvz,mnv,mnvt,mnvx,mnvy,mnvz,mxv,mxvt,mxvx,mxvy,mxvz,ta1t,ta1x,ta1y,ta1z,ta2t,ta2x,ta2y,ta2z,at1t,at1x,at1y,at1z,at2t,at2x,at2y,at2z,lr1t,lr1x,lr1y,lr1z,lr2t,lr2x,lr2y,lr2z,rl1t,rl1x,rl1y,rl1z,rl2t,rl2x,rl2y,rl2z,pl,spl,plr
201935,James,Harden,77,1138,-0.12951458,0.159514174,3.354384582,0.378,0.007704175,0.01313425,8.18029876,14.42259581,-7.145353365,-0.470511582,12.5193376,9.648681018,0.305,0.324693032,0.061609524,7.379855132,19.7050796,0.116,-0.424713841,-0.061018657,4.859944558,0.081,-0.477440436,-0.0377293,4.200234704,NA,NA,NA,NA,0.284,0.34017271,0.07460242,7.174992411,NA,NA,NA,NA,0.125,-0.396781412,-0.061898513,5.036550315,NA,NA,NA,NA,0.267,0.33081881,0.07863005,6.999131777,NA,NA,NA,NA,5.186691821,4.8300832,1.073830741
203081,Damian,Lillard,74,1114,-0.19284424,-0.158115464,2.917786475,0.371,0.015376526,-0.005017535,7.653077562,14.67136797,-6.933572067,-0.053912223,12.92948994,9.858253791,0.304,0.27135278,0.024809356,6.912895972,18.73428908,0.116,-0.49422062,0.226736331,4.400952692,0.081,-0.540241891,0.152878479,3.771187426,NA,NA,NA,NA,0.292,0.276692343,0.035453585,6.794141085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,-0.368866524,0.258866861,5.075421761,NA,NA,NA,NA,5.123031516,4.742338721,1.080275328
2772,Trevor,Ariza,80,942,0.279411223,0.142605157,3.189608787,0.439,-0.108531224,0.004955384,8.556269516,14.881033,-6.69738032,0.33057661,13.28461363,12.81048358,0.372,0.205155501,0.013805547,7.687208836,16.01421323,0.238,0.040115254,0.181498527,5.767498613,0.133,-0.319730765,0.305477167,4.21847797,NA,NA,NA,NA,0.32,0.289359998,0.053704149,7.013671145,NA,NA,NA,NA,0.417,0.023761717,0.001234862,8.266944399,NA,NA,NA,NA,0.129,-0.318956335,0.305767107,4.170290126,NA,NA,NA,NA,5.758962006,5.382424563,1.069956845
202083,Wesley,Matthews,76,920,-0.66473634,0.263333171,3.188989465,0.377,0.011190835,-0.011424803,7.44604445,14.62072252,-6.612055279,0.108494158,13.03972703,7.834409908,0.294,0.23218634,0.018991279,6.604377087,18.34076463,0.111,-0.9582597,0.391565356,4.346042725,0.098,-0.965872255,0.391352876,4.10914813,NA,NA,NA,NA,0.307,0.240066283,0.008180637,6.707195547,NA,NA,NA,NA,0.367,0.072762709,-0.012034376,7.317750991,NA,NA,NA,NA,0.105,-0.96367447,0.392081848,4.236124732,NA,NA,NA,NA,4.825180624,4.319130311,1.117164864
200768,Kyle,Lowry,72,886,-0.016749533,0.26217981,2.86361847,0.395,0.005381976,0.015877559,7.853279216,13.41937436,-8.270247449,0.298627291,10.56377949,7.487149694,0.32,0.411071315,0.018008406,7.174139113,20.98311277,0.12,-0.278364932,0.60575235,4.583271492,0.077,-0.385467886,0.610378374,3.736079589,NA,NA,NA,NA,0.283,0.4584987,0.059336215,6.879859256,NA,NA,NA,NA,0.354,0.280432201,0.008819547,7.442413077,NA,NA,NA,NA,0.096,-0.361383489,0.623393933,4.088946409,NA,NA,NA,NA,5.500147109,4.99578512,1.100957503
2594,Kyle,Korver,79,885,0.058234911,0.310479085,3.37815294,0.401,-0.022529932,-0.021030478,8.250120652,13.63994481,-6.974106901,-1.462850521,11.630563,11.30275374,0.361,0.198870999,0.038488001,7.793495264,17.03938198,0.191,0.076005886,0.243415155,5.44894008,0.094,-0.208634244,0.273749979,3.954160762,NA,NA,NA,NA,0.285,0.344932616,0.149233837,6.904592952,NA,NA,NA,NA,0.077,-0.194748523,0.273072353,3.763759581,NA,NA,NA,NA,0.095,-0.208601616,0.273750051,3.966349874,NA,NA,NA,NA,5.12212052,4.883901201,1.048776441
201567,Kevin,Love,80,824,-0.774061258,0.339254956,3.516904316,0.383,-0.004966204,-0.017416188,8.234705461,14.27663183,-7.389160319,0.109260948,12.2151786,8.724711617,0.308,0.276985825,-0.022007552,7.475749231,18.5497032,0.116,-0.801471479,0.393618475,5.150718573,0.061,-1.003552844,0.450451032,4.221780831,NA,NA,NA,NA,0.304,0.277686917,-0.021269955,7.440843426,NA,NA,NA,NA,0.318,0.2693876,-0.022711276,7.563323926,0.05,-0.993164121,0.442180992,4.072403817,0.067,-1.00014999,0.451750621,4.306590691,0.297,0.275790869,-0.019213607,7.379517932,5.170533902,4.793367204,1.078685125
2747,JR,Smith,78,798,-0.657638632,-0.240109311,3.449026201,0.392,0.008415047,-0.01394366,8.407467166,12.92387813,-6.550094835,1.075445781,11.08901709,6.519690718,0.317,0.286625425,-0.077478581,7.759284389,21.30213724,0.118,-0.765025682,0.104504856,5.122070638,0.066,-0.930267964,0.008946796,4.109053316,NA,NA,NA,NA,0.306,0.290750762,-0.081882693,7.687100202,NA,NA,NA,NA,0.294,0.285203196,-0.083700472,7.6045146,NA,NA,NA,NA,0.143,-0.605504589,0.116728846,5.644016648,NA,NA,NA,NA,5.407125437,5.008084985,1.079679249
201980,Danny,Green,78,779,0.012294566,0.251852915,3.108332723,0.385,-0.031543281,-0.00183218,8.32825594,12.68770676,-6.225226106,-0.961160505,11.01365666,6.863716425,0.315,0.149323877,0.082513776,7.706821481,22.74517901,0.114,-0.520762838,0.336622194,4.756929645,0.136,-0.540527843,0.338784084,5.247347702,NA,NA,NA,NA,0.328,0.15729706,0.063351621,7.797283324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,-0.538910326,0.33922364,5.116879097,NA,NA,NA,NA,5.538058301,5.22626791,1.059658325
201587,Nicolas,Batum,81,750,-0.169715275,-0.036297185,3.184977744,0.48,-0.023934283,-0.033603999,8.767789023,13.48414746,-7.56637308,-0.219981803,11.159025,9.541942887,0.404,0.392718512,-0.023159847,7.983159469,16.56038768,0.199,-0.181265686,0.24021558,5.544885654,0.123,-0.487331305,0.294497172,4.357210284,NA,NA,NA,NA,0.351,0.488033476,-0.003367995,7.455549374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,-0.458458311,0.305270208,4.776662416,NA,NA,NA,NA,6.094247878,5.584714954,1.091237051
